Age,Team,G,GS,MP,FG,FGA,FT,FTA,FT%,ORB,DRB,AST,STL,BLK,TOV,PF,PTS,YEAR,TS%,ORB%,DRB%,RB%,AST%,STL%,BLK%,TOV%,OWS,DWS,WS,WS48,OBPM,DBPM,BPM,%FGA_0-2,%FGA_3-9,%FGA_10-15,%FGA_16-3pt,%FGA_3pt,%FGP_0-2,%FGP_3-9,%FGP_10-15,%FGP_16-3pt,%FGP_3pt,%PG,%SG,%SF,%PF,%C,Link
21,WAS,64,0,779,4.1,10.2,1.9,2.7,0.712,0.6,3.7,6.1,1.3,0.1,2.2,2.3,10.6,2011-12,0.468,1.7,11.7,6.7,26,1.9,0.2,16.3,0.2,0.5,0.7,0.042,-2.1,-1.8,-3.9,0.309,0.132,0.114,0.255,0.191,0.618,0.379,0.4,0.232,0.286,0.94,0.04,0.01,0,0,/players/m/macksh01.html
22,TOT,31,3,416,5,10.9,0.8,1.4,0.563,0.3,3.2,5.9,1.3,0,2.9,3.4,12.4,2012-13,0.537,0.8,10,5.4,26.3,1.9,0,20.4,0.1,0.4,0.5,0.056,-2.1,-1.8,-3.9,0.159,0.111,0.087,0.254,0.389,0.55,0.429,0.636,0.5,0.367,0.92,0.08,0,0,0,/players/m/macksh01.html
22,WAS,7,2,141,4.1,10.2,0.3,0.5,0.5,0.8,3.3,5.9,1.5,0,2,2.6,9.4,2012-13,0.453,2.3,10.3,6.3,26.3,2.2,0,16.4,0,0.2,0.2,0.052,-2.6,-0.4,-3,0.15,0.1,0.1,0.325,0.325,0.5,0.5,0.5,0.385,0.308,1,0,0,0,0,/players/m/macksh01.html
22,PHI,4,0,7,5.1,10.3,0,0,0,0,0,5.1,0,0,10.3,5.1,10.3,2012-13,0.5,0,0,0,22.6,0,0,50,-0.1,0,-0.1,-0.348,-15.1,-9,-24.1,0,0,0,0.5,0.5,0,0,0,1,0,0,1,0,0,0,/players/m/macksh01.html
22,ATL,20,1,268,5.5,11.3,1.1,1.9,0.571,0,3.2,5.9,1.2,0,3.2,3.8,14,2012-13,0.577,0,10.1,5.1,26.3,1.7,0,21,0.1,0.2,0.4,0.068,-1.5,-2.4,-3.8,0.167,0.119,0.083,0.214,0.417,0.571,0.4,0.714,0.556,0.4,0.9,0.1,0,0,0,/players/m/macksh01.html
23,ATL,73,11,1490,5,12.1,1.5,1.8,0.865,0.5,3.4,6.5,1.2,0,2.2,2.4,13.1,2013-14,0.51,1.6,10.7,6.2,28.8,1.7,0.1,14.3,1.2,1.2,2.3,0.074,-0.7,-1.7,-2.4,0.25,0.16,0.078,0.146,0.367,0.576,0.35,0.487,0.384,0.337,0.18,0.72,0.11,0,0,/players/m/macksh01.html
24,ATL,55,0,833,5.1,12.6,1.1,1.3,0.806,0.3,3.1,6.7,1.3,0.1,2.1,1.4,12.9,2014-15,0.489,1.1,9.5,5.4,28.6,1.8,0.2,13.8,0.5,0.8,1.3,0.075,-0.9,-2.2,-3.1,0.199,0.137,0.092,0.137,0.435,0.569,0.375,0.444,0.425,0.315,0.45,0.55,0,0,0,/players/m/macksh01.html
25,TOT,52,27,1058,6.2,14.1,1.5,2.1,0.738,0.4,3.9,6.4,1.2,0.1,3.2,2.4,15.2,2015-16,0.507,1.4,12.5,7,30.6,1.7,0.2,17.7,0.2,1.2,1.3,0.061,-0.5,-0.8,-1.2,0.217,0.28,0.092,0.113,0.301,0.689,0.44,0.395,0.319,0.312,0.92,0.08,0,0,0,/players/m/macksh01.html
25,ATL,24,0,179,8,19.1,1.8,2.4,0.75,0.4,4,7.6,1.6,0,2.8,1.4,18.7,2015-16,0.464,1.2,11.9,6.7,36.9,2.2,0,12.3,-0.1,0.3,0.2,0.045,-1.3,-1.8,-3.1,0.242,0.211,0.116,0.147,0.284,0.739,0.5,0.455,0.286,0.148,0.94,0.06,0,0,0,/players/m/macksh01.html
25,UTA,28,27,879,5.8,13.1,1.5,2,0.735,0.5,3.9,6.1,1.1,0.1,3.3,2.7,14.5,2015-16,0.52,1.5,12.6,7,29.3,1.6,0.3,19.2,0.2,0.9,1.2,0.064,-0.3,-0.5,-0.8,0.209,0.3,0.084,0.103,0.306,0.672,0.427,0.37,0.333,0.357,0.92,0.08,0,0,0,/players/m/macksh01.html
22,POR,57,55,2015,6.2,13.7,3.6,4.3,0.838,1,3.4,4.1,1.2,0.2,2.1,2.5,17.1,2006-07,0.548,3.5,12.1,7.7,20.9,1.8,0.4,11.8,3.8,1,4.8,0.114,2.8,-0.7,2.1,0.268,0.18,0.11,0.251,0.191,0.556,0.435,0.452,0.427,0.377,0.02,0.9,0.08,0,0,/players/r/roybr01.html
23,POR,74,74,2792,6.8,15.1,3.6,4.8,0.753,1,3.4,5.5,1,0.2,1.8,1.9,18.3,2007-08,0.531,3.4,11.2,7.3,28.2,1.5,0.4,9.3,5.9,2.1,8,0.138,3.6,-0.2,3.5,0.25,0.139,0.124,0.303,0.184,0.62,0.38,0.4,0.442,0.34,0,0.85,0.14,0,0,/players/r/roybr01.html
24,POR,78,78,2903,7.8,16.3,5.2,6.3,0.824,1.3,3.3,5,1.1,0.3,1.9,1.6,21.9,2008-09,0.573,4.4,11.6,7.9,25.4,1.7,0.6,9,10.9,2.6,13.5,0.223,5.9,-0.2,5.8,0.333,0.113,0.14,0.247,0.167,0.601,0.483,0.424,0.417,0.377,0,0.65,0.35,0,0,/players/r/roybr01.html
25,POR,65,65,2419,7.3,15.4,5.1,6.5,0.78,1.1,3.2,4.5,0.9,0.2,1.9,2,20.8,2009-10,0.568,3.7,10.9,7.3,23.1,1.4,0.5,9.5,7,2.1,9.1,0.18,4.8,-0.7,4.1,0.247,0.099,0.155,0.286,0.213,0.637,0.485,0.441,0.451,0.33,0,0.55,0.44,0.01,0,/players/r/roybr01.html
26,POR,47,23,1310,5.7,14.4,3.2,3.8,0.848,0.8,2.6,3.5,1,0.3,1.5,2.1,15.7,2010-11,0.491,2.5,9.1,5.6,16.8,1.5,0.8,8.6,1.2,0.9,2.1,0.077,-0.5,-1.6,-2.1,0.187,0.145,0.164,0.285,0.218,0.592,0.395,0.36,0.349,0.333,0,0.37,0.61,0.02,0,/players/r/roybr01.html
28,MIN,5,5,122,3.2,10.3,2.1,3,0.7,0.9,3.2,6.8,0.9,0,2.1,1.5,8.6,2012-13,0.368,2.7,10.6,6.6,28.8,1.3,0,15.1,-0.1,0.1,0,-0.017,-3.9,-1.5,-5.5,0.171,0.143,0.086,0.343,0.257,0.833,0.2,0.333,0.333,0,0,1,0,0,0,/players/r/roybr01.html
33,SAC,21,0,169,3,12.1,0,0,0,0.6,4.7,2.8,2.1,0.9,1.5,2.8,8.1,2000-01,0.333,2,13.7,8,11,3,1.6,10.9,-0.3,0.3,0,-0.011,-4,0.9,-3.1,0.07,0.018,0.105,0.123,0.684,0.5,0,0.167,0.143,0.256,0,0.21,0.79,0,0,/players/a/anderni01.html
34,MEM,15,0,219,3.5,12.5,0.8,1.5,0.556,0.2,5.3,2.3,1,1,2.3,2.8,9.9,2001-02,0.375,0.5,16.3,8.4,10.2,1.4,1.9,14.9,-0.6,0.2,-0.4,-0.08,-5.7,-1.1,-6.9,0.066,0.039,0.079,0.184,0.632,0.6,0.333,0.333,0.143,0.271,0,0.63,0.36,0.01,0,/players/a/anderni01.html
20,BOS,8,0,39,0.9,11.1,3.7,3.7,1,0.9,4.6,5.5,1.8,0,2.8,0.9,5.5,2001-02,0.218,2.7,14.4,8.4,22.2,2.7,0,17.9,-0.2,0.1,-0.1,-0.144,-9.9,0,-9.9,0,0.167,0.167,0.417,0.25,0,0,0,0.2,0,0.23,0.77,0,0,0,/players/f/fortejo01.html
21,SEA,17,0,86,4.2,14.7,1.7,2.5,0.667,1.7,2.9,4.6,1.7,0,4.2,2.5,10,2002-03,0.319,5.4,9.7,7.5,20.9,2.5,0,21,-0.4,0.1,-0.3,-0.176,-8.7,-1.5,-10.2,0.086,0.4,0.171,0.257,0.086,0.333,0.357,0.333,0.222,0,0.69,0.31,0,0,0,/players/f/fortejo01.html
23,MIA,65,2,1260,5.1,12.9,1.9,2.4,0.776,0.6,2,3.8,1.3,0.1,3,3.5,12.6,2011-12,0.452,2.1,6.4,4.3,17,1.8,0.1,17.7,-1.4,1.4,0,0,-4.1,-1.8,-5.9,0.336,0.142,0.084,0.269,0.169,0.523,0.281,0.395,0.364,0.276,1,0,0,0,0,/players/c/coleno01.html
24,MIA,80,4,1590,4.1,9.6,1.2,1.8,0.65,0.4,2.5,3.7,1.3,0.2,2.4,3.5,10.1,2012-13,0.483,1.5,8.2,5,15.2,1.9,0.4,18.4,-0.8,1.4,0.6,0.019,-3.4,-1.1,-4.5,0.355,0.101,0.068,0.245,0.231,0.543,0.256,0.379,0.385,0.357,1,0,0,0,0,/players/c/coleno01.html
25,MIA,82,6,2014,3.7,8.9,0.9,1.2,0.779,0.3,2.6,4.4,1.4,0.1,2.3,2.8,9.4,2013-14,0.497,1.1,8.6,5,17.9,2,0.2,19.3,-0.5,1.7,1.2,0.029,-2.2,-0.8,-3,0.322,0.104,0.05,0.176,0.348,0.522,0.346,0.28,0.432,0.345,1,0,0,0,0,/players/c/coleno01.html
26,TOT,75,25,1831,4.5,11,1.1,1.6,0.716,0.3,2.9,5,1.1,0.3,1.9,2.4,11.3,2014-15,0.483,0.9,9.3,5.1,22.2,1.6,0.7,14.3,0.4,1,1.4,0.036,-1.5,-1.5,-3,0.244,0.102,0.093,0.246,0.315,0.537,0.316,0.442,0.445,0.313,0.97,0.03,0,0,0,/players/c/coleno01.html
26,MIA,47,23,1148,3.7,9.6,1,1.4,0.696,0.4,3,5.2,1.3,0.3,1.8,2.4,9.3,2014-15,0.452,1.3,9.8,5.7,22.9,1.9,0.6,15.1,-0.1,0.8,0.6,0.027,-2.1,-0.9,-2.9,0.297,0.101,0.069,0.199,0.333,0.538,0.323,0.429,0.377,0.265,0.96,0.04,0,0,0,/players/c/coleno01.html
26,NOP,28,2,683,5.9,13.3,1.4,1.8,0.743,0.1,2.6,4.7,0.8,0.4,2.2,2.6,14.7,2014-15,0.52,0.2,8.3,4.2,21.2,1.2,0.8,13.3,0.5,0.3,0.7,0.052,-0.5,-2.6,-3.1,0.179,0.103,0.123,0.302,0.294,0.533,0.308,0.452,0.5,0.378,1,0,0,0,0,/players/c/coleno01.html
27,NOP,45,23,1198,5.9,14.5,1.6,2,0.8,0.3,4.2,5,1.1,0.2,2.3,3.1,14.3,2015-16,0.465,0.9,13.5,7,22,1.5,0.3,12.8,-0.6,0.5,-0.1,-0.004,-2.4,-1.4,-3.7,0.209,0.124,0.105,0.351,0.211,0.495,0.4,0.431,0.394,0.324,0.94,0.06,0,0,0,/players/c/coleno01.html
22,CLE,12,0,77,3.3,10.8,1.9,3.3,0.571,1.4,4.2,5.6,3.7,1.9,5.1,3.7,8.4,2001-02,0.345,4.6,13.6,9.2,23.9,5.5,3.8,29.7,-0.3,0.1,-0.2,-0.114,-7.6,3.9,-3.8,0.391,0.087,0,0.478,0.043,0.333,0,0,0.364,0,0.11,0.88,0.01,0,0,/players/t/trepaje01.html
23,DEN,8,0,97,6.3,14.8,2.6,2.6,1,3,3,2.2,3,0,3,1.9,16.7,2002-03,0.522,9.2,10.1,9.6,12.2,4.3,0,15.7,0.1,0.2,0.2,0.105,0,0.3,0.3,0.35,0.05,0.1,0.3,0.2,0.571,0.5,0.25,0.25,0.5,0.22,0.78,0,0,0,/players/t/trepaje01.html
24,DEN,11,0,96,3.7,14.2,1.1,2.3,0.5,2.3,3.4,1.5,1.1,0,2.3,2.6,9.4,2003-04,0.308,7,10.7,8.8,6.4,1.6,0,12.9,-0.3,0.1,-0.2,-0.122,-7.8,-2.8,-10.7,0.421,0.079,0.079,0.316,0.105,0.313,0,0,0.25,0.5,0.06,0.68,0.27,0,0,/players/t/trepaje01.html
21,MIN,37,0,290,7.1,15.4,3.2,5,0.65,3,3.6,0.7,1,0.1,2,3,17.8,2013-14,0.505,8.8,11.2,10,3.4,1.4,0.3,10.2,0.1,0.2,0.3,0.053,-3.1,-3.1,-6.2,0.323,0.282,0.21,0.097,0.089,0.475,0.486,0.5,0.417,0.273,0,0.7,0.3,0,0,/players/m/muhamsh01.html
22,MIN,38,13,866,8.1,16.5,4.3,6,0.717,2.6,3.8,1.8,0.7,0.3,1.5,2,21.3,2014-15,0.556,8.1,12.4,10.2,9.6,1.1,0.6,7.1,2.1,-0.1,2,0.11,2,-3.8,-1.8,0.365,0.264,0.134,0.108,0.128,0.676,0.448,0.283,0.326,0.392,0.09,0.8,0.11,0,0,/players/m/muhamsh01.html
23,MIN,82,0,1682,6.8,14.6,4,5.2,0.764,2.1,3.6,1.1,0.5,0.1,1.5,2,18.5,2015-16,0.548,7,11.4,9.2,5.2,0.7,0.3,8.2,2.6,0.2,2.7,0.077,0,-4.2,-4.2,0.373,0.232,0.094,0.078,0.223,0.65,0.418,0.359,0.358,0.289,0,0.5,0.49,0.01,0,/players/m/muhamsh01.html
22,PHI,77,41,1742,3.5,7.7,1.1,1.5,0.712,1.5,3.6,1.5,1.1,0.2,1.2,3,9.5,2013-14,0.57,4.4,11.2,7.7,6.1,1.5,0.5,12.9,1.4,0.6,2,0.055,-1.8,-1.2,-3,0.301,0.097,0.048,0.105,0.449,0.634,0.25,0.444,0.41,0.401,0,0,0.92,0.07,0,/players/t/thompho01.html
23,PHI,71,23,1776,4.5,11,1.3,1.8,0.708,1.1,2.9,1.7,1.2,0.5,1.3,2.9,12.7,2014-15,0.538,3.1,9.3,6,8.4,1.6,1.2,10.2,1.3,1.3,2.6,0.07,-1.1,-0.9,-2.1,0.175,0.133,0.061,0.103,0.529,0.579,0.319,0.515,0.25,0.401,0.06,0.61,0.31,0.01,0,/players/t/thompho01.html
24,PHI,77,17,2154,4.5,11.4,1.2,1.6,0.719,0.9,3.6,1.7,0.6,0.4,1.3,3.1,12.7,2015-16,0.525,2.6,11.4,6.9,7.4,0.8,0.8,9.5,0.7,0.5,1.2,0.026,-1.1,-2,-3.1,0.146,0.103,0.062,0.112,0.576,0.576,0.371,0.357,0.303,0.38,0,0.27,0.66,0.07,0,/players/t/thompho01.html
27,SEA,34,1,305,3,9.3,3,4,0.735,1.4,4,0.4,0.7,2.1,1.4,4.5,8.9,2000-01,0.399,4.5,12.7,8.7,1.4,1,4.3,11.3,-0.3,0.2,-0.1,-0.012,-6.7,-0.9,-7.5,0.354,0.291,0.139,0.19,0.025,0.357,0.261,0.273,0.4,0,0,0,0,0.4,0.6,/players/w/wolkoru01.html
29,BOS,7,0,24,3,6,1.5,6,0.25,0,1.5,1.5,0,0,1.5,4.5,7.5,2002-03,0.434,0,4.8,2.4,7,0,0,14.8,0,0,0,-0.051,-7.5,-3.5,-11,0.25,0.25,0,0.25,0.25,1,1,0,0,0,0,0,0,1,0,/players/w/wolkoru01.html
21,LAL,19,0,169,3.8,8.9,1.3,1.9,0.667,0.4,3,4.5,0.4,0,4,3.4,9.8,2011-12,0.5,1.4,8.8,5.3,19.1,0.6,0,29.2,-0.2,0.1,-0.2,-0.045,-5.6,-2.5,-8.1,0.238,0.262,0.119,0.167,0.214,0.7,0.364,0.4,0.143,0.444,0.94,0.06,0,0,0,/players/m/morrida01.html
22,LAL,48,17,683,3.8,9.9,1.3,2,0.649,1.3,1.7,4,1.1,0.1,2.4,3.1,10.2,2012-13,0.475,4,5.2,4.6,16.8,1.6,0.2,18.1,-0.1,0.3,0.2,0.016,-2.6,-1.7,-4.3,0.388,0.122,0.021,0.117,0.351,0.507,0.217,0,0.318,0.364,0.68,0.32,0,0,0,/players/m/morrida01.html
23,TOT,27,0,313,4.5,11,2,3,0.654,0.8,2.2,5.1,1.5,0,3.1,3.8,12.3,2013-14,0.498,2.5,6.8,4.6,21.5,2.1,0,20.1,-0.1,0.2,0,0.006,-2.9,-2.9,-5.7,0.198,0.177,0.094,0.135,0.396,0.737,0.471,0.222,0.231,0.316,0.98,0.02,0,0,0,/players/m/morrida01.html
23,PHI,12,0,193,5.4,12.5,2.8,3.9,0.714,0.6,1.9,5.8,1.5,0,3.5,3.9,15.5,2013-14,0.544,1.6,5.8,3.6,25.4,2,0,19.9,0.1,0.1,0.1,0.027,-2.1,-4.4,-6.5,0.194,0.224,0.075,0.149,0.358,0.692,0.533,0,0.2,0.417,1,0,0,0,0,/players/m/morrida01.html
23,LAC,10,0,54,2.7,8.7,0.7,1.3,0.5,0,3.3,3.3,1.3,0,1.3,6,6,2013-14,0.324,0,9.9,5.1,12.5,1.9,0,12.6,-0.1,0.1,0,-0.041,-5.6,-0.6,-6.2,0.308,0.077,0.077,0,0.538,1,0,0,0,0,0.89,0.1,0.01,0,0,/players/m/morrida01.html
23,MEM,5,0,66,3.3,8.7,0.5,1.6,0.333,2.2,2.2,4.4,1.6,0,3.3,1.6,8.2,2013-14,0.433,7.2,7.2,7.2,17.4,2.4,0,25.7,-0.1,0.1,0,-0.016,-3,-0.2,-3.2,0.125,0.063,0.188,0.188,0.438,0.5,0,0.667,0.333,0.286,1,0,0,0,0,/players/m/morrida01.html
24,BRK,38,0,299,4.3,12.8,0.5,1.1,0.444,0.8,2.4,5.8,1.1,0,2.5,2.4,10,2014-15,0.377,2.6,7.5,5.1,24.7,1.6,0,16,-0.5,0.1,-0.4,-0.068,-4.4,-2.8,-7.2,0.311,0.123,0.132,0.123,0.311,0.545,0.385,0.214,0.231,0.212,0.86,0.14,0,0,0,/players/m/morrida01.html
